,irreps_type,tensor_product_type,lmax,Time,GFLOPs/s (min),GFLOPs/s (mean),GFLOPs/s (max),Total GFLOPs/s,GB/s (min),GB/s (mean),GB/s (max),Total GB/s
28,MIMO,GTP-grid,8,8.617599065030973e-05,2.0814463127367087,115.68821643918714,399.83722330594765,66.88594841067925,10.42408038334921,57.00094964094615,119.83376017884352,50.12058400965284
29,SIMO,CGTP-dense,1,3.6480047188020047e-06,0.040592132077200346,0.040592132077200346,0.040592132077200346,0.040592132077200346,0.21240690298378467,0.21240690298378467,0.21240690298378467,1.0783721125414734
30,SIMO,CGTP-dense,2,7.615999999992131e-06,0.0966424904477454,0.14012071044998003,0.1835989304522147,0.13573635213028484,0.4265599578432739,0.4700464831385761,0.5135330084338784,1.4869856233371743
31,SIMO,CGTP-dense,3,1.2575995303257203e-05,0.16884208490945482,0.3101378929723803,0.44852758066584747,0.302220805220989,0.7016813918296247,0.831978912508736,0.9613652383163571,1.9811347663003915
32,SIMO,CGTP-dense,4,2.2080004675079265e-05,0.1951916926710799,1.1738509853227932,1.6827470972202718,1.1064514766560178,0.7790871537663042,1.763133827163838,2.334127202630043,1.5872972693473342
33,SIMO,CGTP-dense,5,3.820799066392613e-05,0.11439321946258174,1.2669324149028038,1.8825907918869285,1.0687007155284198,0.7949751009140164,2.2954213102143255,3.0870743209309874,1.3135239521575468
34,SIMO,CGTP-dense,6,5.206399068716107e-05,0.04729365784892125,1.0951741111098319,1.845509249055497,1.0139475825841213,0.17014547036029398,2.257271279626127,3.6295468562096356,1.662299471700108
35,SIMO,CGTP-dense,7,6.348801403930113e-05,0.06483517147758573,1.527298963501418,2.6309302660357434,1.2487212801311827,0.22130437416955828,3.4330216946091974,5.5323340999521315,2.200624629194238
36,SIMO,CGTP-dense,8,6.44160046517828e-05,0.0038957883288592977,1.5721800916367588,4.141503330138906,1.8778981388708769,0.22826533691957593,3.8422276697036186,9.869306700900196,3.8400282221015565
37,SIMO,CGTP-sparse,1,1.4975999996364016e-05,0.0002969783073389243,0.0027910727885028944,0.007999291601609549,0.00360688497200937,0.019006583159789443,0.052722458878997715,0.1361582711432129,0.8756024207912402
38,SIMO,CGTP-sparse,2,4.0063995369039944e-05,0.001187911447215444,0.005713882993084524,0.016449991127772966,0.006090418898605781,0.019006583159789443,0.08686458515849979,0.2462631807848811,1.029513252600965
39,SIMO,CGTP-sparse,3,7.846399992823434e-05,0.0006000798908595813,0.01166274427844724,0.02417495594383369,0.011608297802903435,0.019202527310699224,0.08947715591977944,0.23671115438453852,1.0528654890682478
40,SIMO,CGTP-sparse,4,0.0001169599952649929,0.0004619660992794973,0.01867485108262707,0.0760308503730069,0.01913447535399172,0.03801316631026566,0.06404937814468785,0.13304608209058644,1.1231929070048505
41,SIMO,CGTP-sparse,5,0.000185663962166295,0.00043765158581499065,0.02245325948322354,0.09804481891485595,0.02305934778916708,0.03801316631026566,0.06888245127621023,0.15405335820280017,1.1820511611532833
42,SIMO,CGTP-sparse,6,0.00028585599045184734,0.00024875068766375445,0.021778499030701438,0.07398500058215424,0.022320648059902883,0.039213582091033455,0.1411056637133006,0.4628390976879746,1.324890593701338
43,SIMO,CGTP-sparse,7,0.00038361598102339177,0.00023855627547334605,0.026845736345432348,0.06908330282111942,0.027219900168736776,0.044115279847756025,0.13607861693287007,0.4831235855817795,1.3766296995790672
44,SIMO,CGTP-sparse,8,0.0005118079903629745,0.00323375410799059,0.02957584492282654,0.08952892607194586,0.030168339016355877,0.03762919493019581,0.1501254188332786,0.4771590968687087,1.4187034910081324
45,SIMO,GTP-fourier,1,3.926400374601315e-05,0.19613425958394362,5.037136423558105,22.85190412120917,9.803933893515719,0.22675680077634752,0.8170377975814045,1.5750788805820048,2.097942421064332
46,SIMO,GTP-fourier,2,4.995195522035489e-05,1.187704208739752,3.2662635499006476,12.164679548305426,2.3673871165344713,1.3713174917548896,7.387709281556309,19.750196086475626,3.6727911011557977
47,SIMO,GTP-fourier,3,9.107362455220036e-05,0.09108433422217357,67.96604984880823,347.99135887733763,224.64017689914758,0.36218100124038755,21.946695397961886,76.12673380902969,6.675559248885694
48,SIMO,GTP-fourier,4,0.00013255521063736152,0.1586982453211842,145.51123896319098,731.3250783222123,454.2767409703288,0.7204570860229432,52.25187696311934,186.44712719262577,11.661456763354806
49,SIMO,GTP-fourier,5,0.00016742269837490014,0.10876953541356689,238.6113744600029,1178.4948621589647,824.9868071402356,0.8681820610817522,87.71163195492854,319.8116290860064,22.328418710896784
50,SIMO,GTP-fourier,6,0.00021939240161224856,0.15680923199004912,344.57060872479616,1775.3572462071909,1272.389673116752,1.2604969328828155,110.09329673402476,333.84936926005406,38.5574447138953
51,SIMO,GTP-fourier,7,0.00029904344596331687,0.20228364805142857,439.3797536284629,2478.2976813574705,1678.008658802409,1.5191245274432004,70.70616553504486,199.96051429235376,25.470008589328476
52,SIMO,GTP-fourier,8,0.0003517767618429086,0.2685938251485119,610.1349581121577,3272.5671545851415,2423.8769379229097,2.1546700243186208,111.54095925202905,260.7680960564874,35.52217404332629
53,SIMO,GTP-grid,1,3.231999532959467e-05,0.8419333388576774,37.86992126914716,129.47247548767953,35.43383225442214,1.2140454990509897,5.929756451377645,15.350765195386485,4.544117139524486
