,irreps_type,tensor_product_type,lmax,batch,normalization,Time,all GFLOPs,GB,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
42,SISO,GTP-grid,7,10000,1,0.00022403199999999999,1.2593324482440948,0.15013325214385986,3292.2694925054366,2192.4848961594075,5484.754388664844,621.12981003613
43,SIMO,CGTP-dense,2,10000,1,3.1104e-05,0.0378575399518013,0.002413034439086914,635.9368115216047,481.42176467285014,1117.3585761944548,75.68988695706481
44,SISO,GTP-fourier,5,10000,1,0.0018204480000000001,6.455994561314583,0.17910385131835938,9615.769732189596,483.4846585161363,10099.254390705733,461.62230957947446
45,SISO,CGTP-sparse,8,10000,1,5.8784e-05,0.04276827163994312,0.001287221908569336,69.7272934335784,220.50100787519736,290.22830130877577,9.159220259723977
46,MIMO,GTP-grid,10,10000,41,0.000668864,15.419466258957982,0.3244173526763916,13723.17357810494,156.54974874232707,13879.723326847268,730.6324825924958
48,MIMO,GTP-grid,6,10000,25,0.00027952,2.631622027605772,0.11404764652252197,5925.884457805035,1916.4474110647766,7842.331868869812,523.5443791655662
49,SIMO,GTP-grid,1,10000,1,7.7664e-05,0.2732602059841156,0.00518488883972168,2634.27170407213,74.02243991206197,2708.2941439841916,84.44554700893018
50,SISO,GTP-fourier,3,10000,1,0.00042624,1.2621572762727737,0.05601167678833008,4405.774625975499,306.893896724126,4712.668522699624,314.75205661545874
52,MIMO,Matrix-TP,5,10000,21,0.000471872,9.079818725585938,0.2574446201324463,16646.075043745146,3844.8574781491243,20490.932521894272,545.3633355290278
53,MIMO,Matrix-TP,10,10000,41,0.007787456,253.08984375,3.514067530632019,22108.572122520243,6662.702238636771,28771.274361157015,471.22554315489987
55,MIMO,Matrix-TP,9,10000,37,0.003472576,152.083740234375,2.4179800748825073,42803.76016332016,132.68320851353306,42936.443371833695,770.1341860765733
56,SIMO,CGTP-sparse,6,10000,1,0.000516768,0.5831905007362366,0.006028532981872559,105.75201580508676,112.39108255265046,218.14309835773722,12.211555253861444
57,MIMO,GTP-grid,1,10000,5,7.8368e-05,0.2744876444339752,0.005334019660949707,2642.0231715236205,74.4970722460025,2716.5202437696234,87.7052781050248
58,SISO,GTP-grid,8,10000,1,0.00035750399999999997,4.067420855164528,0.15470552444458008,7696.304334756525,967.5806193684416,8663.884954124966,534.9554070902668
59,MIMO,GTP-fourier,4,10000,17,0.0009182400000000001,4.232997298240662,0.11072564125061035,9035.201654595241,474.85525613175577,9510.056910726997,464.2657317720057
60,SIMO,CGTP-dense,5,10000,1,5.5871999999999996e-05,0.39919527620077133,0.010932683944702148,4619.7973128832,719.5541451787633,5339.351458061963,192.54273855251807
