,irreps_type,tensor_product_type,lmax,batch,Time,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
52,SIMO,CGTP-sparse,3,1,7.846399992823434e-05,0.0,0.01166274427844724,0.01166274427844724,0.11389970830049029
53,SISO,GTP-grid,8,1,3.0528004695992425e-05,44.6163804917837,31.985547073731542,76.60192756551523,30.49868522474077
54,MIMO,CGTP-sparse,2,128,0.00018342402832410636,0.0,0.5144147274580708,0.5144147274580708,6.319560816015802
55,MIMO,GTP-grid,2,128,8.719999530809857e-05,1390.6886387653292,55.55658386597263,1446.2452226313019,531.4221644225743
56,MIMO,GTP-grid,2,1,3.3215999998929955e-05,21.798270089314865,11.773139709635261,33.57140979895013,19.105492743927364
57,SISO,GTP-fourier,1,128,5.7123019059052623e-05,36.78040766700428,7.6543472568951785,44.434754923899455,56.94942761300264
58,SIMO,GTP-grid,4,128,9.244801397537101e-05,1409.4740262823514,12.111368506681455,1421.5853947890328,661.4007536266151
59,SIMO,GTP-fourier,1,128,5.7246328618031875e-05,36.79405728294444,7.672250158427518,44.46630744137196,57.41926818413128
60,SIMO,CGTP-sparse,3,128,9.587197652493717e-05,0.0,1.1232491392908293,1.1232491392908293,11.56652194161971
61,SISO,CGTP-dense,4,128,1.286400465473148e-05,0.0,41.13476028441707,41.13476028441707,14.931265802187847
62,MIMO,CGTP-dense,3,128,0.0001835542254481961,6.133151978814033,5.974232582205814,12.107384561019849,8.746379387733974
63,SIMO,CGTP-sparse,5,128,0.00025244799070493014,0.0,1.8143337031359414,1.8143337031359414,18.95609521990409
64,MIMO,GTP-grid,5,128,0.00010057600458344962,1441.1246222588145,411.58288841796866,1852.707510676783,702.5731335513491
65,SIMO,GTP-grid,1,128,0.0001167680001455238,1352.056414922135,20.776697087138167,1372.833112009273,450.979447615591
66,SIMO,GTP-fourier,4,1,0.00013255521063736152,0.0,145.51123896319098,145.51123896319098,75.18314231062307
67,SISO,CGTP-sparse,8,1,5.6192009396996595e-05,0.0,0.03774597797591474,0.03774597797591474,0.0992445680074161
68,MIMO,CGTP-sparse,4,128,0.001310944032832904,0.0,1.1051290926329942,1.1051290926329942,12.87575247674075
69,SIMO,CGTP-dense,2,1,7.615999999992131e-06,0.0,0.14012071044998003,0.14012071044998003,0.49296909769997
70,SIMO,GTP-fourier,5,1,0.00016742269837490014,0.0,238.6113744600029,238.6113744600029,127.56741373315297
71,SIMO,CGTP-dense,1,128,1.763200476863905e-05,3.6964120791036854,18.188395035719484,21.88480711482317,2.767217424507253
72,SISO,GTP-grid,2,128,0.00011721599977212018,1352.8412320118275,20.655930696805022,1373.4971627086327,515.3124564340205
73,MIMO,CGTP-sparse,3,1,0.00044825596247361854,0.0,0.00795886252370465,0.00795886252370465,0.07127224561204945
74,SISO,GTP-fourier,6,128,0.0010236479209348992,2297.8122745395926,167.20502566123417,2465.017300200827,686.0161505170975
75,SISO,CGTP-sparse,4,1,2.6688004677655706e-05,0.0,0.019740695934454572,0.019740695934454572,0.06988624894060194
76,SIMO,GTP-fourier,6,1,0.00021939240161224856,0.0,344.57060872479616,344.57060872479616,152.13273284734228
77,MIMO,CGTP-dense,7,1,0.0005912280542440538,0.0,1.281808600662141,1.281808600662141,11.125738747335367
78,SIMO,CGTP-sparse,6,1,0.00028585599045184734,0.0,0.021778499030701438,0.021778499030701438,0.1569918856881559
79,MIMO,CGTP-dense,3,1,8.601579255495741e-05,0.0,0.7519413025332206,0.7519413025332206,2.1817045728607396
80,MIMO,CGTP-dense,5,128,0.0006612572520319372,2.9855838383309106,4.786373911538871,7.771957749869782,13.721481903593416
81,MIMO,GTP-grid,6,128,9.916801483305134e-05,2182.242698830142,16.54894981154335,2198.7916486416852,974.4622295005538
