lmax,irreps_type,tensor_product_type,batch,Time,normalization
8,SISO,CGTP-dense,10000,0.0001001507043838501,1
1,MIMO,Matrix-TP,100000,0.00019784271717071533,3
2,MIMO,Matrix-TP,100000,0.0005746901035308838,5
3,MIMO,Matrix-TP,100000,0.0011632978916168214,7
4,MIMO,Matrix-TP,100000,0.002705162763595581,9
5,MIMO,Matrix-TP,100000,0.005032140016555786,11
6,MIMO,Matrix-TP,100000,0.012002319097518921,13
7,MIMO,Matrix-TP,100000,0.019717615842819215,15
8,MIMO,Matrix-TP,100000,0.050576090812683105,17
1,MIMO,GTP-fourier,100000,0.0005650043487548829,3
2,MIMO,GTP-fourier,100000,0.0017839133739471435,5
3,MIMO,GTP-fourier,100000,0.00481707751750946,7
4,MIMO,GTP-fourier,100000,0.01086243987083435,9
5,MIMO,GTP-fourier,100000,0.02138562798500061,11
6,MIMO,GTP-fourier,100000,0.039888006448745725,13
7,MIMO,GTP-fourier,100000,0.06680566668510438,15
8,MIMO,GTP-fourier,100000,0.11048555374145508,17
1,MIMO,CGTP-dense,100000,0.00017557740211486815,5
2,MIMO,CGTP-dense,100000,0.0004585921764373779,14
3,MIMO,CGTP-dense,100000,0.0012226223945617676,30
4,MIMO,CGTP-dense,100000,0.0029889315366744993,55
5,MIMO,CGTP-dense,100000,0.008079677820205688,91
6,MIMO,CGTP-dense,100000,0.017700439691543578,140
7,MIMO,CGTP-dense,100000,0.03511328101158142,204
8,MIMO,CGTP-dense,100000,0.06310392916202545,285
