,irreps_type,tensor_product_type,lmax,batch,normalization,Time,all GFLOPs,GB,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
302,SISO,CGTP-sparse,8,10000,1,8.784e-05,0.032298266887664795,0.001343369483947754,0.0,160.66871063984794,160.66871063984794,7.243127769885003
303,SIMO,CGTP-sparse,1,100000,1,5.6544e-05,0.019278377294540405,0.0062378644943237305,0.0,99.90867171714555,99.90867171714555,63.481072542445666
305,SISO,CGTP-sparse,8,1000000,1,0.004194016,3.2298266887664795,0.189622163772583,0.0,257.96876228144794,257.96876228144794,15.80710266037355
309,MIMO,CGTP-sparse,3,1000000,44,0.032120224,2.6756897568702698,15.224863767623901,0.0,114.96691384802739,114.96691384802739,584.9732891140488
312,MIMO,GTP-grid,5,1000000,21,0.017016128,149.85612219572067,8.23594343662262,9012.815540119194,78.07506348145218,9090.890603600647,506.5774446799593
314,MIMO,GTP-grid,10,10000,41,0.00119024,13.821992576122284,0.44137442111968994,7333.713977641827,28.090316219585713,7361.804293861412,462.5538667032825
315,SIMO,CGTP-dense,3,1000000,1,0.002967968,10.647526264190674,1.7310720682144165,901.3526006440634,1418.6184417627092,2319.9710424067725,588.4423541937033
316,MIMO,GTP-grid,4,1000000,17,0.013504736,94.14993603527546,5.762880444526672,5727.364224162588,1277.6807162879247,7005.044940450514,486.0729424872591
322,MIMO,Matrix-TP,5,100000,21,0.005198432,107.92916870117188,3.0292468070983887,16539.70227886514,43.379950254288076,16583.08222911943,571.8590717464581
326,MIMO,GTP-grid,6,10000,25,0.00045036800000000004,2.125817406922579,0.18640613555908203,2084.047313272626,1202.7429234088688,3286.790236681495,460.8639558682365
330,MIMO,GTP-grid,5,100000,21,0.041401631999999994,248.7205020338297,25.459245800971985,12147.121580895695,48.020804757236185,12195.142385652933,577.5186912114636
331,SISO,CGTP-dense,6,1000,1,1.984e-05,0.01233971118927002,0.0008980035781860352,0.0,380.8282211814497,380.8282211814497,38.083610067501866
333,MIMO,GTP-grid,1,1000000,5,0.0031760959999999998,8.510015204548836,1.0056118965148926,1263.4794864947667,1305.0261921783779,2568.5056786731448,443.45087552363054
334,SIMO,GTP-grid,1,10000,1,6.0224000000000005e-05,0.06543010473251343,0.006050586700439453,305.7233454508074,437.0195295637019,742.7428750145093,122.00444245299937
340,MIMO,CGTP-dense,6,100000,231,0.018329791999999994,48.81877437233925,9.995555758476257,97.91338677303874,300.8438953143233,398.757282087362,510.37068410196264
341,SIMO,GTP-fourier,6,100000,1,0.05584368,130.17873725295067,4.10599160194397,6375.849135862743,303.90249017849976,6679.751626041243,427.2107558809087
345,SIMO,CGTP-dense,8,1000000,1,0.040758624,149.11132979393005,24.066489338874817,2407.6814480203197,1062.7348667723654,3470.416314792685,576.95547814876
346,SIMO,CGTP-dense,7,1000000,1,0.029331424000000002,86.95937383174896,18.027680039405823,226.73708450772452,1058.0533895640665,1284.7904740717909,588.9944352536977
350,MIMO,GTP-fourier,6,100000,25,0.055738464,130.17873725295067,4.1376811265945435,6387.257842098108,304.16622640339256,6691.424068501501,457.0903890235535
353,SISO,GTP-fourier,3,10000,1,0.0006792640000000001,1.1865439265966415,0.1024785041809082,2323.3265925884457,173.65591157039066,2496.982504158837,324.83830734888676
356,SIMO,CGTP-dense,2,1000000,1,0.0013258559999999998,4.394227862358093,0.6234064102172852,933.8907742446512,1562.9899576014172,2496.8807318460686,501.84430667768356
357,SIMO,GTP-fourier,7,100000,1,0.09304848,221.53706488013268,5.504082918167114,6750.057845690688,318.9643717166391,7069.022217407326,424.4183825969489
360,MIMO,Matrix-TP,5,10000,21,0.000630368,9.670822143554688,0.29452335834503174,17144.229439449453,91.13264788178157,17235.362087331236,459.46196070961605
361,MIMO,CGTP-dense,3,1000,44,0.00019897600000000001,0.04001416265964508,0.0034546852111816406,0.0,48.56376533614461,48.56376533614461,22.734175814347058
367,MIMO,Matrix-TP,10,10000,41,0.011967104,252.42926025390625,4.398407697677612,16111.914282464946,4026.6867377681906,20138.601020233134,383.58947566261924
370,MIMO,GTP-fourier,3,100000,13,0.006227168,11.824316829442978,1.144105076789856,2561.262071035659,185.92214847003885,2747.184219505697,497.8890958297229
371,SISO,GTP-fourier,2,1000,1,6.2176e-05,0.037994347512722015,0.002982020378112793,274.0906741995985,55.14899114364044,329.2396653432389,61.113417272161584
378,MIMO,GTP-grid,2,1000,9,4.9631999999999995e-05,0.023306138813495636,0.001584172248840332,133.0460820879255,251.31155040181733,384.35763248974285,36.88190366799067
383,MIMO,Matrix-TP,1,100000,5,0.000157152,0.21172332763671875,0.06653451919555664,0.0,603.7447861556482,603.7447861556482,481.9069488801032
384,SIMO,CGTP-dense,3,1000,1,2.4671999999999997e-05,0.004476964473724365,0.00044918060302734375,51.794380977235996,80.8757520699312,132.6701330471672,18.01235194669642
386,MIMO,Matrix-TP,9,10000,37,0.006294272,150.1742706298828,2.367754340171814,23499.022730201938,57.950201044702595,23556.97293124664,382.9393427009688
387,MIMO,GTP-grid,3,100000,13,0.040988607999999996,194.99993747472763,24.181547045707703,7205.493844004808,941.7565748909981,8147.250418895806,587.6087001517665
388,SIMO,CGTP-dense,7,1000,1,3.823999999999999e-05,0.06675291806459427,0.001986861228942871,0.0,988.1400399589998,988.1400399589998,49.41783877958633
389,SIMO,CGTP-sparse,5,1000,1,0.000108256,0.008082948625087738,0.0010694265365600586,0.0,27.395037588704735,27.395037588704735,7.84778599311962
390,MIMO,CGTP-sparse,7,1000,344,0.003569792,0.2951938658952713,0.09770691394805908,0.0,25.737871191167194,25.737871191167194,25.471534712039443
393,MIMO,GTP-grid,2,1,9,1.7824e-05,1.985020935535431e-05,2.384185791015625e-05,0.9241030197734981,0.23915356076068836,1.1632565805341863,1.3171797198480533
394,SIMO,CGTP-sparse,6,10000,1,0.0007244799999999999,0.1318473368883133,0.00884091854095459,0.0,84.88304343537281,84.88304343537281,11.490763851542074
395,MIMO,GTP-grid,1,10000,5,6.057599999999999e-05,0.06548075377941132,0.0060509443283081055,295.08026906579164,437.613375267439,732.6936443332306,121.08316466118052
396,SISO,GTP-grid,8,10000,1,0.000585632,3.586835891008377,0.23588597774505615,2511.443308044893,1134.8900283361518,3646.3333363810443,426.49890003362
